ASV	Plat01_FWD13	Plat02_FWD13	Plat03_FWD13	Plat04_FWD13	Plat05_FWD13	Plat06_FWD13	Plat07_FWD13	Plat08_FWD13	Plat09_FWD13	Plat10_FWD14	Plat11_FWD14	Plat12_FWD14	Plat13_FWD14	Plat14_FWD14	Plat15_FWD14	Plat16_FWD14	Plat17_FWD14	Plat18_FWD14	Plat19_FWD14	Plat20_FWD14	Plat21_FWD14	Plat22_FWD15	Plat23_FWD15	Plat24_FWD15	Plat25_FWD15	Plat26_FWD15	Plat27_FWD15	Plat28_FWD15	Plat29_FWD15	Plat30_FWD15	Plat31_FWD15	Plat32_FWD15	Plat33_FWD15	Plat34_FWD16	Plat35_FWD16	Plat36_FWD16	Plat37_FWD16	Plat38_FWD16	Plat39_FWD16	Plat40_FWD16	Plat41_FWD16	Plat42_FWD16	Plat43_FWD16	Plat44_FWD16	Plat45_FWD16
00053f16933975a2b7a8213b880d6fd8	0	0	0	0	0	0	0	0	12	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
002a1a56df033f54093976203e7ce578	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
003813630d3e148e66a491e1ad4e249e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
004769a3650b5575da29d2bb911649cc	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
007978dab7aed7eb4d5ffff337638bd2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00c210a0008fd4865894cef72174fed6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
00c630d452b3cc56ef8cbb8615243a43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00c905253e84aab5042613bcc22d568c	0	0	0	0	0	0	0	0	12	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00d4306620fb956f4cb8ea6616da13a3	0	55	0	0	0	0	0	0	24	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0106e5c3e9a8ea981ebef1bd41ea5247	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
