ID	Sample	Species	Category	Source	PCR_Neg	Ext_Blank	Captive	Gender	CollectionDate	Animal	Tank	FWD	REV
Plat24_FWD15	Plat24	ExtBlank	ExtBlank	ExtBlank	FALSE	TRUE	NA	NA	NA	NA	NA	FWD15	REV03
Plat41_FWD16	Plat41	ExtBlank	ExtBlank	ExtBlank	FALSE	TRUE	NA	NA	NA	NA	NA	FWD16	REV08
Plat42_FWD16	Plat42	ExtBlank	ExtBlank	ExtBlank	FALSE	TRUE	NA	NA	NA	NA	NA	FWD16	REV09
Plat30_FWD15	Plat30	Food	Bloodworms	Food	FALSE	FALSE	NA	NA	13-May-22	Bloodworms	NA	FWD15	REV09
Plat31_FWD15	Plat31	Food	Bloodworms	Food	FALSE	FALSE	NA	NA	13-May-22	Bloodworms	NA	FWD15	REV10
Plat32_FWD15	Plat32	Food	Bloodworms	Food	FALSE	FALSE	NA	NA	13-May-22	Bloodworms	NA	FWD15	REV11
Plat09_FWD13	Plat09	Food	Earthworm	Food	FALSE	FALSE	NA	NA	13-May-22	Earthworm	NA	FWD13	REV12
Plat13_FWD14	Plat13	Food	Earthworm	Food	FALSE	FALSE	NA	NA	13-May-22	Earthworm	NA	FWD14	REV04
Plat14_FWD14	Plat14	Food	Earthworm	Food	FALSE	FALSE	NA	NA	13-May-22	Earthworm	NA	FWD14	REV05
Plat10_FWD14	Plat10	Food	Mealworm	Food	FALSE	FALSE	NA	NA	13-May-22	Mealworm	NA	FWD14	REV01
Plat11_FWD14	Plat11	Food	Mealworm	Food	FALSE	FALSE	NA	NA	13-May-22	Mealworm	NA	FWD14	REV02
Plat12_FWD14	Plat12	Food	Mealworm	Food	FALSE	FALSE	NA	NA	13-May-22	Mealworm	NA	FWD14	REV03
Plat43_FWD16	Plat43	PCRNeg	PCRNeg	PCRNeg	TRUE	FALSE	NA	NA	NA	NA	NA	FWD16	REV10
Plat44_FWD16	Plat44	PCRNeg	PCRNeg	PCRNeg	TRUE	FALSE	NA	NA	NA	NA	NA	FWD16	REV11
Plat45_FWD16	Plat45	PCRNeg	PCRNeg	PCRNeg	TRUE	FALSE	NA	NA	NA	NA	NA	FWD16	REV12
Plat01_FWD13	Plat01	Platypus	Platypus	Platypus	FALSE	FALSE	Captive	F	14-Jan-22	Yami-Storm	NA	FWD13	REV04
Plat03_FWD13	Plat03	Platypus	Platypus	Platypus	FALSE	FALSE	Captive	Unk	24-Dec-21	Unk	NA	FWD13	REV06
