ASV	Domain	Phylum	Class	Order	Family	Genus
095dcca0a1cacb655451100eb59c8ef1	Bacteria	Proteobacteria	Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 [Agitococcus]_lubricus_group
04ca162b3dd2dc7f483ab3503bc605c3	Bacteria	Firmicutes	Bacilli	 Erysipelotrichales	 Erysipelotrichaceae	 [Clostridium]_innocuum_group
03b10adc566e93d23372c71edcf48b34	Bacteria	Firmicutes	Clostridia	 Oscillospirales	 [Clostridium]_methylpentosum_group	 [Clostridium]_methylpentosum_group
acb9db822dfd3f2e790ed864e05a6c3d	Bacteria	Firmicutes	Clostridia	 Peptostreptococcales-Tissierellales	 Anaerovoracaceae	 [Eubacterium]_brachy_group
ced57c18ce3934958e35d0f44838935d	Bacteria	Firmicutes	Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group
5176a4753d08a544b223fe46a8c70a9f	Bacteria	Firmicutes	Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group
b2fc9f6a3177e6a1eac0f3f88e5609d8	Bacteria	Firmicutes	Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group
33b74b9cd563d82d7f77862d713fd744	Bacteria	Firmicutes	Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group
e1da31a1c25f7846bfd902fe2fda5481	Bacteria	Firmicutes	Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group
e3f7673d661003b4b9350cd4261d41c7	Bacteria	Firmicutes	Clostridia	 Oscillospirales	 [Eubacterium]_coprostanoligenes_group	 [Eubacterium]_coprostanoligenes_group
